SPECTRUM - MS,
VI-143.raw,
FTMS + p ESI Full ms [200.00-3000.00],
Scan #: 17-31,
RT: 0.30-0.56,
AV: 15,
SB: 19  0.01-0.34 ,
Data points: 67852,
Mass,Intensity
209.177148,0
209.177719,0
209.17829,8.29805
209.178861,28.597135
209.179433,41.096411
209.180004,43.059035
209.180575,30.373563
209.181147,10.359598
209.181718,0.000661
209.182289,0
209.182861,0
209.183432,0
209.184003,0
209.233716,0
209.234288,0
209.234859,0
209.235431,0
209.236003,36.350957
209.236574,49.388248
209.237146,53.248907
209.237717,49.610278
209.238289,39.377549
209.23886,1.803626
209.239432,0.000116
209.240003,0
209.240575,0
209.241146,0
209.241718,0
209.333768,0
209.33434,0
209.334912,0
209.335484,0
209.336056,20.835163
209.336628,36.600236
209.3372,43.035701
209.337772,40.673399
209.338344,30.897601
209.338916,7.405775
209.339488,0.000481
209.340059,0
209.340631,0
209.341203,0
209.341775,0
209.371521,0
209.372093,0
209.372665,0
209.373237,0
209.373809,28.403811
209.374381,44.836969
209.374953,51.133205
209.375525,46.645709
209.376097,34.219195
209.376669,1.66032
209.377241,0.000108
209.377814,0
209.378386,0
209.378958,0
209.37953,0
209.449346,0
209.449918,0
209.45049,0
209.451063,0
209.451635,20.650727
209.452208,39.695812
209.45278,43.849555
209.453352,41.114491
209.453925,32.830871
209.454497,11.258612
209.45507,0.000739
209.455642,0
209.456215,0
209.456787,0
209.457359,0
209.817312,0
209.817886,0
209.81846,0
209.819034,0
209.819608,18.851226
209.820182,39.064395
209.820756,53.714614
209.82133,63.034619
209.821904,65.383117
209.822477,60.298254
209.823051,50.699405
209.823625,40.141929
209.824199,10.004807
209.824773,0.000682
209.825347,0
209.825921,0
209.826495,0
209.827069,0
209.831661,0
209.832235,0
209.832809,0
209.833383,0
209.833957,2.602259
209.834531,8.205078
209.835105,10.12357
209.835679,9.745909
209.836253,6.830962
209.836827,2.645204
209.837401,0
209.837975,0
209.838549,0
209.839123,0
209.962013,0
209.962587,0
209.963162,0
209.963736,0
209.964311,1.49857
209.964885,5.556527
209.96546,8.853057
209.966034,10.123131
209.966609,8.161973
209.967183,3.454595
209.967758,0
209.968332,0
209.968907,0
209.969481,0
210.083861,0
210.084436,0
210.085011,0
210.085586,0
210.086161,18.335982
210.086736,37.759453
210.087311,44.401934
210.087886,42.186092
210.088461,32.005988
210.089036,10.620408
210.089611,0.000743
210.090186,0
210.090761,0
210.091336,0
210.091911,0
210.22193,0
210.222506,0
210.223081,0
210.223657,0
210.224233,17.158294
210.224808,37.371623
210.225384,50.404705
210.225959,53.813166
210.226535,43.895724
210.22711,15.080755
210.227686,0.001068
210.228262,0
210.228837,0
210.229413,0
210.229988,0
210.280075,0
210.280651,0
210.281227,0
210.281803,0
210.282378,31.535342
210.282954,30.922588
210.28353,10.927453
210.284106,7.762881
210.284682,9.608494
210.285258,6.194479
210.285833,0
210.286409,0
210.286985,0
210.287561,0
210.519817,0
210.520394,0
210.520971,0
210.521548,0
210.522125,23.879718
210.522701,42.395821
210.523278,47.3323
210.523855,41.149454
210.524432,27.702442
210.525009,6.384469
210.525586,0.000465
210.526162,0
210.526739,0
210.527316,0
210.527893,0
210.583279,0
210.583856,0
210.584434,0
210.585011,0
210.585588,33.987058
210.586165,42.927317
210.586742,47.117845
210.587319,42.935119
210.587896,28.922791
210.588473,1.47306
210.58905,0.000108
210.589627,0
210.590204,0
210.590781,0
210.591358,0
210.591936,0
210.592513,0
210.59309,0
210.593667,0
210.594244,26.049488
210.594821,41.481004
210.595398,47.27777
210.595975,49.775215
210.596552,46.966594
210.597129,35.554546
210.597707,8.602714
210.598284,0.000631
